company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
301581,黄山谷捷,同一时点总出资额核对,2022-05第二次增资完成后,46.0,第二次增资完成后谷捷有限股权结构,,,,1804.5113,1804.5113,0.0,pass,股东出资额合计与披露总出资额基本一致
301581,黄山谷捷,同一时点总股本核对,2022-09股份公司整体变更后,40.0,黄山谷捷整体变更后股权结构,,,,6000.0,6000.0,0.0,pass,股东持股数合计与披露总股本基本一致
603418,友升股份,同一时点总出资额核对,t0_1992-12设立,42.0,友升有限设立时股东及出资情况,,,,400.0,400.0,0.0,pass,股东出资额合计与披露总出资额基本一致
603418,友升股份,同一时点总出资额核对,报告期初,43.0,报告期初友升有限股权结构,,,,10950.2788,10950.2788,0.0,pass,股东出资额合计与披露总出资额基本一致
603418,友升股份,同一时点总股本核对,2020-09股份公司整体变更后,43.0,整体变更设立时股权结构,,,,12000.0,12000.0,0.0,pass,股东持股数合计与披露总股本基本一致
603418,友升股份,同一时点总股本核对,2020-09增资后,44.0,2020年9月增资后股权结构,,,,13380.0,13380.0,0.0,pass,股东持股数合计与披露总股本基本一致
603418,友升股份,同一时点总股本核对,2022-12增资后/发行前,45.0,2022年12月增资后股权结构,,,,14480.1333,14480.1333,0.0,pass,股东持股数合计与披露总股本基本一致
688758,赛分科技,同一时点总出资额核对,t0_报告期初,54.0,报告期初赛分有限股权结构,,,,2408.0,2408.0,0.0,pass,股东出资额合计与披露总出资额基本一致
688758,赛分科技,同一时点总出资额核对,2021-04第一次转让及增资完成后,56.0,第一次增资和股权转让完成后股权结构,,,,2750.6769,2750.6769,0.0,pass,股东出资额合计与披露总出资额基本一致
688758,赛分科技,同一时点总股本核对,2021-11第二次增资完成后,59.0,第二次增资完成后股权结构,,,,3175.067,3175.067,0.0,pass,股东持股数合计与披露总股本基本一致
688758,赛分科技,同一时点总股本核对,签署日/发行前,65.0,截至招股说明书签署日股东及持股情况,,,,36648.8394,36648.8394,0.0,pass,股东持股数合计与披露总股本基本一致
688775,影石创新,同一时点总出资额核对,t0_深圳岚锋设立,63.0,深圳岚锋设立时出资情况,,,,1000.0,1000.0,0.0,pass,股东出资额合计与披露总出资额基本一致
688775,影石创新,同一时点总股本核对,2020-02股份公司设立时,63.0,影石创新设立时股本结构,,,,36000.0,36000.0,0.0,pass,股东持股数合计与披露总股本基本一致
688775,影石创新,同一时点总股本核对,2023-03股权转让后/发行前,66.0,2023年3月股权转让后出资情况,,,,36000.0,36000.0,0.0,pass,股东持股数合计与披露总股本基本一致
920100,三协电机,同一时点总股本核对,t0_可识别最早完整股权结构_发行前,35.0,本次发行前股本结构,,,,5310.93,5310.93,0.0,pass,股东持股数合计与披露总股本基本一致
920116,星图测控,同一时点总出资额核对,t0_2016-12设立,48.0,星图测控有限设立时股权结构,,,,2000.0,2000.0,0.0,pass,股东出资额合计与披露总出资额基本一致
920116,星图测控,同一时点总股本核对,发行前,47.0,本次发行前股权结构,,,,8250.0,8250.0,0.0,pass,股东持股数合计与披露总股本基本一致
001282,三联锻造,认缴流量数值与认购方核对,2019-12-04,36.0,认购方：三联合伙,,,348.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
301563,云汉芯城,认缴流量数值与认购方核对,2018-04-28,58.0,认购方：天健创投（受让自丰利财富）,,,66.668,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
